"",ps,smoothed.percent.open,celltype,gene,peak,avg.open
"1286",0.858585858585859,3.93818652746992,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1287",0.868686868686869,3.94202884913689,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1288",0.878787878787879,3.94843005309997,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1289",0.888888888888889,3.95786121106482,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1290",0.898989898989899,3.97080195246455,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1291",0.909090909090909,3.98774357058002,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1292",0.919191919191919,4.00919262988807,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1293",0.929292929292929,4.03585703071454,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1294",0.939393939393939,4.06799844383478,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1295",0.94949494949495,4.10491657054456,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1296",0.95959595959596,4.14587930612445,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1297",0.96969696969697,4.19013901096306,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1298",0.97979797979798,4.2369268463878,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1299",0.98989898989899,4.28544823812555,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1300",1,4.33487952022277,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1301",0,2.01133872361737,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1302",0.0101010101010101,2.03609130239605,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1303",0.0202020202020202,2.05948015010626,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1304",0.0303030303030303,2.08126190842475,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1305",0.0404040404040404,2.10118963008518,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1306",0.0505050505050505,2.11901406755464,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1307",0.0606060606060606,2.13448514628346,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1308",0.0707070707070707,2.14735361922995,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1309",0.0808080808080808,2.15737289620369,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1310",0.0909090909090909,2.16403139647405,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1311",0.101010101010101,2.16619969304737,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1312",0.111111111111111,2.16426622296376,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1313",0.121212121212121,2.1588067749059,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1314",0.131313131313131,2.15040636667954,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1315",0.141414141414141,2.13965334955912,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1316",0.151515151515152,2.12713456098616,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1317",0.161616161616162,2.11343155054714,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1318",0.171717171717172,2.09911788218184,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1319",0.181818181818182,2.08475749903385,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1320",0.191919191919192,2.07090412629247,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1321",0.202020202020202,2.05810168168877,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1322",0.212121212121212,2.0468856628154,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1323",0.222222222222222,2.03778548492532,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1324",0.232323232323232,2.02928781649184,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1325",0.242424242424242,2.01879470936736,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1326",0.252525252525253,2.00684948619658,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1327",0.262626262626263,1.99402530238561,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1328",0.272727272727273,1.98088699608668,beta,ATOH1,4:94749419-94751027,2.28469473946694
"1329",0.282828282828283,1.96798997019972,beta,ATOH1,4:94749419-94751027,2.28469473946694
