"",beta,delta,alpha,gamma,immune,stellate,endothelial,ductal,acinar
ELK4,0,0.106641700041441,0.100340523301922,0.188776339770641,0.339020420819258,0.686919404203184,1,0.347270223582114,0.322797680591778
ERG,0,0.0795438267976451,0.0748994261505821,0.13853528473307,0.266140739394891,0.583618405113538,1,0.238375476243048,0.247906729399965
ETS1,0,0.0893735837871727,0.0747793509543241,0.149166496311488,0.259169588223558,0.632341861755812,1,0.264276549591574,0.262164295209879
JUNB(var.2),0,0.181843250620934,0.00774672848821323,0.0566577579283526,0.0240421002469032,0.814878099442886,0.786142971705856,0.286461426366124,1
Creb5,0,0.17756865406274,0.0189956739940242,0.0544424858751435,0.0743294094485296,1,0.767871475489126,0.275459095688569,0.902496877222819
FOSL2::JUNB(var.2),0.00852050087813769,0.192086190263245,0,0.0242450651565409,0.0979040685275121,1,0.755232479481637,0.424733529516519,0.950105557839061
JUN::JUNB(var.2),0.0393813966810646,0.196542743344346,0.0249854036817174,0,0.150963976163363,1,0.790719453960156,0.452272580304629,0.946095035216804
FOSB::JUNB(var.2),0.0526683428958257,0.194563035757362,0,0.0428320498167205,0.120081494457081,0.954876635338043,0.73619965008907,0.384435432508604,1
FOSL1::JUN(var.2),0.0354991528677808,0.194455036605048,0,0.0242321361145453,0.130075101951944,0.989482637985756,0.688357323276011,0.351897401677953,1
ATF7,0,0.180281061536106,0.0216695139710957,0.000269792649763286,0.127588718688909,1,0.73051520630643,0.362269695895839,0.995292077469188
FOSB::JUN,0.0439665702486657,0.168727301626471,0,0.0347034159974621,0.106678009397654,1,0.680663850627576,0.42869441430689,0.942224063850573
JDP2(var.2),0.0285847848771454,0.161673559321497,0,0.0228907001349683,0.0739721440215211,1,0.676849515547965,0.341834911285878,0.925425908843991
BATF3,0.110215099930834,0.204400456526988,0.11692394353415,0,0.218639814964202,1,0.754818727330183,0.513413532896175,0.768930983825455
FOSL1::JUND(var.2),0.0661970967316279,0.180176673792576,0.00226882318211255,0,0.145092799539594,1,0.714570141567028,0.420356799408884,0.70905250687317
CREB1,0.138300419234432,0.218168236389274,0.0818563782153301,0,0.183676414290376,1,0.529794272980041,0.47439401423782,0.86968693490207
FOS::JUN(var.2),0.0709222119378139,0.256245005605204,0,0.054154571209104,0.177167581399472,1,0.661675555224021,0.52918137812016,0.933027660382788
FOSL2::JUN(var.2),0.117558910267032,0.233933721781121,0,0.0480301966939986,0.125069218947155,1,0.69429434412099,0.424460545824193,0.918036234124173
FOSL2::JUND(var.2),0.0729297623354592,0.201708658185665,0.000751254785111877,0,0.113955265843668,1,0.609657122886318,0.434806957435942,0.898780484264686
RELA,0,0.0540500086539793,0.209763081904114,0.126279859119255,0.213210098639932,0.547763282219225,0.513447004043856,1,0.851981619609053
REL,0,0.0285924836587382,0.206600883361116,0.101802351122777,0.220304210554537,0.530464414677711,0.547848519583586,1,0.801544449763479
CEBPA,0.0976499975876729,0.0431570891256086,0.0807345928763707,0.076451919250299,0.57119196935198,1,0,0.649377642508265,0.640279106167994
JUN,0.202191206662261,0.247383482382045,0.0102663632743185,0,0.200799940482567,1,0.349756949633873,0.611167613399219,0.812404090582573
JUND(var.2),0.161419290836887,0.227997044271254,0.0189286790128493,0,0.160202132051749,1,0.455026778192373,0.65355582902085,0.978601078254144
Nfe2l2,0.355116193552176,0.415486230124353,0.148938473000535,0,0.325166142385749,1,0.419265217589734,0.539348829190109,0.516973931137849
Bach1::Mafk,0.384515282653774,0.409836046785375,0.172803291275286,0,0.347274898586856,1,0.449975937823945,0.543883664780401,0.471374877768826
BACH2,0.353675940193243,0.412337669229486,0.151902971918363,0,0.325143499872747,1,0.469404778151036,0.530967849867504,0.455851726882515
MAF::NFE2,0.359429030034011,0.399898669995397,0.147203411250403,0,0.338158283475531,1,0.443437217656075,0.517286375273109,0.473509233032379
BATF::JUN,0.282070766493768,0.414663060935627,0.0832913466170372,0,0.290633657241342,1,0.536665898429078,0.526500872543581,0.45563404707312
FOS,0.297077334816834,0.437495769689962,0.095155480709044,0,0.276028240761802,1,0.511415730007819,0.548326646337896,0.479852044527269
FOSL1::JUND,0.289882029607843,0.441053771098653,0.0857533024102739,0,0.285053864566068,1,0.524529504343496,0.538065415150816,0.485923755276482
JUN(var.2),0.302341830502093,0.451263102385715,0.0907253558025568,0,0.289906371016709,1,0.560768004777719,0.551107776817565,0.491142542431672
JDP2,0.304921125382929,0.467093310803928,0.082368850729649,0,0.294313375900516,1,0.555453556600192,0.574177619741326,0.495619346942712
FOSL1::JUNB,0.305595838905766,0.453538155976306,0.091982769043504,0,0.299057079298981,1,0.512319425542402,0.547214041660312,0.505090615561663
FOSB::JUNB,0.307133530788316,0.465136459952641,0.0856897226289292,0,0.299958565349273,1,0.516063532702886,0.559925625825123,0.509228758995157
FOSL2::JUND,0.306278466479441,0.461605659293448,0.0886789733282556,0,0.29982155267991,1,0.524314695526213,0.563992182783676,0.513604778862005
FOS::JUNB,0.30982495030602,0.46152421004408,0.0878311289994212,0,0.299885332999954,1,0.521038790404306,0.559969628976255,0.525368185380958
FOSL2::JUNB,0.304558995647388,0.463633990386225,0.0861413776303208,0,0.294828688427634,1,0.525601182348196,0.55590934620657,0.519446269197341
NFE2,0.323663145984019,0.457957207212162,0.0886670251415131,0,0.311951451168641,1,0.543864866216476,0.564600866750872,0.514659904902545
